Date,Actual,Predicted,Residual
2026-01-03,50.8392,50.814278,0.02492235107421692
2026-01-04,50.2588,50.253082,0.005717724609375807
2026-01-05,49.6784,49.673836,0.004564245605472195
2026-01-06,49.098,49.096527,0.0014729003906239768
2026-01-07,48.5176,48.517136,0.00046437988281411435
2026-01-08,47.9372,47.936623,0.0005773803710908965
2026-01-09,47.3568,47.35558,0.001220623779296659
2026-01-10,46.7764,46.775196,0.0012039245605492965
2026-01-11,46.196,46.195633,0.00036706542968545364
2026-01-12,45.6156,45.615112,0.00048769531250059117
2026-01-13,45.0352,45.035965,-0.0007649658203092713
2026-01-14,44.4548,44.455315,-0.0005146362304699892
2026-01-15,43.8744,43.87399,0.00041089477539202335
2026-01-16,43.294,43.293373,0.0006268920898406805
2026-01-17,42.7136,42.713394,0.000205834960937068
2026-01-18,42.1332,42.132072,0.0011275512695334555
2026-01-19,41.552800000000005,41.552483,0.00031739501953609306
2026-01-20,40.9724,40.972218,0.00018244018554725017
2026-01-21,40.392,40.392532,-0.0005323486328094873
2026-01-22,39.8116,39.812164,-0.0005643066406264552
2026-01-23,39.2312,39.232216,-0.0010158813476550677
2026-01-24,38.6508,38.65334,-0.0025393859863314105
2026-01-25,38.07040000000001,38.070404,-4.052734368542588e-06
2026-01-26,37.49,37.49028,-0.0002801513671855105
2026-01-27,37.592,37.594074,-0.0020742492675793756
2026-01-28,37.694,37.69287,0.0011289062500026148
2026-01-29,37.796,37.79594,5.960083007749972e-05
2026-01-30,37.898,37.89472,0.003281829833987615
2026-01-31,38.0,38.001892,-0.00189208984375
2026-02-01,36.821,36.812607,0.008393188476560454
2026-02-02,35.642,35.63951,0.0024888916015655127
2026-02-03,34.463,34.463814,-0.0008137817382802837
2026-02-04,33.284,33.281982,0.00201757812499892
2026-02-05,32.105000000000004,32.106422,-0.001422424316402271
2026-02-06,30.926,30.92373,0.0022691497802718175
2026-02-07,29.747,29.743399,0.003601333618163949
2026-02-08,28.568,28.569527,-0.0015266723632798573
2026-02-09,27.389,27.392199,-0.003198562622070966
2026-02-10,26.21,26.205023,0.004977188110352415
2026-02-11,25.93375,25.935831,-0.0020810699462892046
2026-02-12,25.6575,25.65517,0.002329559326170738
2026-02-13,25.38125,25.382427,-0.001177215576170454
2026-02-14,25.105,25.108112,-0.0031123352050776987
2026-02-15,24.82875,24.833193,-0.004442825317383381
2026-02-16,24.5525,24.564367,-0.011867294311525
2026-02-17,24.27625,24.279263,-0.0030125427246083802
2026-02-18,24.0,24.000391,-0.0003910064697265625
2026-02-19,22.843333333333334,22.845366,-0.002032190958658475
2026-02-20,21.686666666666667,21.686876,-0.00020963033040288792
2026-02-21,20.53,20.533308,-0.0033080291748035506
2026-02-22,20.523333333333333,20.525826,-0.002492167154947822
2026-02-23,20.516666666666666,20.511694,0.004972712198892282
2026-02-24,20.51,20.50916,0.0008409118652359382
2026-02-25,20.50333333333333,20.50521,-0.0018775431315134483
2026-02-26,20.496666666666663,20.49671,-4.315694173584461e-05
2026-02-27,20.49,20.4974,-0.007400283813478126
2026-02-28,20.5175,20.518906,-0.0014056396484392053
